vin,vout5,vout4,vout3,vout2,vout1,vout0
2.191406e+00,3.300000e+00,1.676214e-08,3.300000e+00,3.300000e+00,2.227796e-08,3.300000e+00
2.242969e+00,3.300000e+00,1.676734e-08,3.300000e+00,3.300000e+00,2.228620e-08,3.300000e+00
2.294531e+00,3.300000e+00,1.681518e-08,3.300000e+00,3.300000e+00,3.300000e+00,2.192495e-08
2.346094e+00,3.300000e+00,1.680351e-08,3.300000e+00,3.300000e+00,3.300000e+00,3.300000e+00
2.397656e+00,3.300000e+00,3.300000e+00,1.828316e-08,1.827869e-08,3.300000e+00,2.195898e-08
2.449219e+00,3.300000e+00,3.300000e+00,9.506976e-09,9.507857e-09,3.300000e+00,7.856428e-09
2.500781e+00,3.300000e+00,3.300000e+00,1.822841e-08,3.300000e+00,2.232773e-08,2.189644e-08
2.552344e+00,3.300000e+00,3.300000e+00,1.823872e-08,3.300000e+00,2.233991e-08,3.300000e+00
2.603906e+00,3.300000e+00,3.300000e+00,1.823981e-08,3.300000e+00,2.234165e-08,3.300000e+00
2.655469e+00,3.300000e+00,3.300000e+00,1.824282e-08,3.300000e+00,2.234581e-08,3.300000e+00
2.707031e+00,3.300000e+00,3.300000e+00,1.829040e-08,3.300000e+00,3.300000e+00,2.197251e-08
2.758594e+00,3.300000e+00,3.300000e+00,1.828218e-08,3.300000e+00,3.300000e+00,3.300000e+00
2.810156e+00,3.300000e+00,3.300000e+00,3.300000e+00,1.829718e-08,3.300000e+00,2.198254e-08
2.861719e+00,3.300000e+00,3.300000e+00,3.300000e+00,1.829932e-08,3.300000e+00,2.198548e-08
2.913281e+00,3.300000e+00,3.300000e+00,3.300000e+00,1.829707e-08,3.300000e+00,2.198275e-08
2.964844e+00,3.300000e+00,3.300000e+00,3.300000e+00,1.828896e-08,3.300000e+00,3.300000e+00
3.016406e+00,3.300000e+00,3.300000e+00,3.300000e+00,3.300000e+00,2.235175e-08,3.300000e+00
3.067969e+00,3.300000e+00,3.300000e+00,3.300000e+00,3.300000e+00,2.235146e-08,3.300000e+00
3.119531e+00,3.300000e+00,3.300000e+00,3.300000e+00,3.300000e+00,3.300000e+00,2.199036e-08
3.171094e+00,3.300000e+00,3.300000e+00,3.300000e+00,3.300000e+00,3.300000e+00,3.300000e+00
3.222656e+00,3.300000e+00,3.300000e+00,3.300000e+00,3.300000e+00,3.300000e+00,3.300000e+00
3.274219e+00,3.300000e+00,3.300000e+00,3.300000e+00,3.300000e+00,3.300000e+00,3.300000e+00
